n	cost	search-status	sequence
4459	12	upper-bound	[<< 4, +1, << 2, +1, << 1, +1, << 2, +1, << 2, +1, << 1, +1]
4460	11	upper-bound	[<< 4, +1, << 2, +1, << 1, +1, << 2, +1, << 1, +1, << 2]
4461	12	upper-bound	[<< 4, +1, << 2, +1, << 1, +1, << 2, +1, << 1, +1, << 2, +1]
4462	9	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 3, -1, << 1]
4463	8	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 4, -1]
4464	7	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 4]
4465	8	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 4, +1]
4466	9	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 3, +1, << 1]
4467	10	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 3, +1, << 1, +1]
4468	9	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 2, +1, << 2]
4469	10	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 2, +1, << 2, +1]
4470	11	upper-bound	[<< 4, +1, << 1, +1, << 3, -1, << 2, +1, << 1, +1, << 1]
4471	8	upper-bound	[<< 4, +1, << 1, +1, << 4, -1, << 3, -1]
4472	7	upper-bound	[<< 4, +1, << 1, +1, << 4, -1, << 3]
4473	8	upper-bound	[<< 4, +1, << 1, +1, << 4, -1, << 3, +1]
4474	9	upper-bound	[<< 4, +1, << 1, +1, << 4, -1, << 2, +1, << 1]
4475	10	upper-bound	[<< 4, +1, << 1, +1, << 4, -1, << 2, +1, << 1, +1]
4476	7	upper-bound	[<< 4, +1, << 1, +1, << 5, -1, << 2]
4477	8	upper-bound	[<< 4, +1, << 1, +1, << 5, -1, << 2, +1]
4478	7	upper-bound	[<< 4, +1, << 1, +1, << 6, -1, << 1]
4479	6	upper-bound	[<< 4, +1, << 1, +1, << 7, -1]
4480	5	upper-bound	[<< 4, +1, << 1, +1, << 7]
4481	6	upper-bound	[<< 4, +1, << 1, +1, << 7, +1]
4482	7	upper-bound	[<< 4, +1, << 1, +1, << 6, +1, << 1]
4483	8	upper-bound	[<< 4, +1, << 1, +1, << 6, +1, << 1, +1]
4484	7	upper-bound	[<< 4, +1, << 1, +1, << 5, +1, << 2]
4485	8	upper-bound	[<< 4, +1, << 1, +1, << 5, +1, << 2, +1]
4486	9	upper-bound	[<< 4, +1, << 1, +1, << 5, +1, << 1, +1, << 1]
4487	8	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 3, -1]
4488	7	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 3]
4489	8	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 3, +1]
4490	9	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 2, +1, << 1]
4491	10	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 2, +1, << 1, +1]
4492	9	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 1, +1, << 2]
4493	10	upper-bound	[<< 4, +1, << 1, +1, << 4, +1, << 1, +1, << 2, +1]
4494	9	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 3, -1, << 1]
4495	8	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 4, -1]
4496	7	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 4]
4497	8	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 4, +1]
4498	9	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 3, +1, << 1]
4499	10	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 3, +1, << 1, +1]
4500	9	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 2, +1, << 2]
4501	10	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 2, +1, << 2, +1]
4502	11	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 2, +1, << 1, +1, << 1]
4503	10	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 1, +1, << 3, -1]
4504	9	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 1, +1, << 3]
4505	10	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 1, +1, << 3, +1]
4506	11	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 1, +1, << 2, +1, << 1]
4507	12	upper-bound	[<< 4, +1, << 1, +1, << 3, +1, << 1, +1, << 2, +1, << 1, +1]
4508	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 3, -1, << 2]
4509	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 3, -1, << 2, +1]
4510	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 4, -1, << 1]
4511	8	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 5, -1]
4512	7	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 5]
4513	8	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 5, +1]
4514	9	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 4, +1, << 1]
4515	10	upper-bound	[<< 4, +1, << 1, +1, << 2, +1, << 4, +1, << 1, +1]
